Periodo,Sexo,Edad,Estado civil,Total
2017T3,Ambos sexos,Total,Viudos/Viudas,"50,1"
2017T2,Ambos sexos,Total,Viudos/Viudas,"50,5"
2017T1,Ambos sexos,Total,Viudos/Viudas,"57,3"
2016T4,Ambos sexos,Total,Viudos/Viudas,"55,1"
2016T3,Ambos sexos,Total,Viudos/Viudas,"59,7"
2016T2,Ambos sexos,Total,Viudos/Viudas,"61,5"
2016T1,Ambos sexos,Total,Viudos/Viudas,"60,3"
2015T4,Ambos sexos,Total,Viudos/Viudas,"67,8"
2015T3,Ambos sexos,Total,Viudos/Viudas,"67,4"
2015T2,Ambos sexos,Total,Viudos/Viudas,"66,1"
2015T1,Ambos sexos,Total,Viudos/Viudas,"61,3"
2014T4,Ambos sexos,Total,Viudos/Viudas,56
2014T3,Ambos sexos,Total,Viudos/Viudas,"62,5"
2014T2,Ambos sexos,Total,Viudos/Viudas,"60,9"
2014T1,Ambos sexos,Total,Viudos/Viudas,"65,4"
2013T4,Ambos sexos,Total,Viudos/Viudas,"63,5"
2013T3,Ambos sexos,Total,Viudos/Viudas,57
2013T2,Ambos sexos,Total,Viudos/Viudas,"57,9"
2013T1,Ambos sexos,Total,Viudos/Viudas,"70,6"
2012T4,Ambos sexos,Total,Viudos/Viudas,"67,2"
2012T3,Ambos sexos,Total,Viudos/Viudas,"58,1"
2012T2,Ambos sexos,Total,Viudos/Viudas,"61,1"
2012T1,Ambos sexos,Total,Viudos/Viudas,"66,5"
2011T4,Ambos sexos,Total,Viudos/Viudas,"54,7"
2011T3,Ambos sexos,Total,Viudos/Viudas,"55,2"
2011T2,Ambos sexos,Total,Viudos/Viudas,57
2011T1,Ambos sexos,Total,Viudos/Viudas,"56,9"
2010T4,Ambos sexos,Total,Viudos/Viudas,"47,7"
2010T3,Ambos sexos,Total,Viudos/Viudas,"49,2"
2010T2,Ambos sexos,Total,Viudos/Viudas,"53,4"
2010T1,Ambos sexos,Total,Viudos/Viudas,"53,1"
2009T4,Ambos sexos,Total,Viudos/Viudas,"47,6"
2009T3,Ambos sexos,Total,Viudos/Viudas,"46,2"
2009T2,Ambos sexos,Total,Viudos/Viudas,"43,6"
2009T1,Ambos sexos,Total,Viudos/Viudas,"37,1"
2008T4,Ambos sexos,Total,Viudos/Viudas,"30,4"
2008T3,Ambos sexos,Total,Viudos/Viudas,"29,2"
2008T2,Ambos sexos,Total,Viudos/Viudas,"23,1"
2008T1,Ambos sexos,Total,Viudos/Viudas,"23,7"
2007T4,Ambos sexos,Total,Viudos/Viudas,"25,1"
2007T3,Ambos sexos,Total,Viudos/Viudas,"24,3"
2007T2,Ambos sexos,Total,Viudos/Viudas,20
2007T1,Ambos sexos,Total,Viudos/Viudas,"27,3"
2006T4,Ambos sexos,Total,Viudos/Viudas,"24,3"
2006T3,Ambos sexos,Total,Viudos/Viudas,"20,9"
2006T2,Ambos sexos,Total,Viudos/Viudas,"19,9"
2006T1,Ambos sexos,Total,Viudos/Viudas,"17,9"
2005T4,Ambos sexos,Total,Viudos/Viudas,"20,3"
2005T3,Ambos sexos,Total,Viudos/Viudas,"20,4"
2005T2,Ambos sexos,Total,Viudos/Viudas,"31,2"
2005T1,Ambos sexos,Total,Viudos/Viudas,"24,5"
2004T4,Ambos sexos,Total,Viudos/Viudas,"25,6"
2004T3,Ambos sexos,Total,Viudos/Viudas,"28,1"
2004T2,Ambos sexos,Total,Viudos/Viudas,"24,8"
2004T1,Ambos sexos,Total,Viudos/Viudas,"22,5"
2003T4,Ambos sexos,Total,Viudos/Viudas,"21,4"
2003T3,Ambos sexos,Total,Viudos/Viudas,"23,8"
2003T2,Ambos sexos,Total,Viudos/Viudas,"26,9"
2003T1,Ambos sexos,Total,Viudos/Viudas,"23,3"
2002T4,Ambos sexos,Total,Viudos/Viudas,"23,7"
2002T3,Ambos sexos,Total,Viudos/Viudas,"26,4"
2002T2,Ambos sexos,Total,Viudos/Viudas,"23,5"
2002T1,Ambos sexos,Total,Viudos/Viudas,"23,5"
2025T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"232,6"
2024T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"197,5"
2024T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"208,2"
2024T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"227,4"
2024T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"270,6"
2023T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"255,2"
2023T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"231,4"
2023T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"227,2"
2023T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"260,6"
2022T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"257,2"
2022T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"233,9"
2022T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"270,1"
2022T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"283,8"
2021T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"274,1"
2021T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"282,6"
2021T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"295,4"
2021T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"297,5"
2020T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,298
2020T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"281,5"
2020T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"255,7"
2020T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,275
2019T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"283,5"
2019T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,255
2019T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"261,8"
2019T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"299,5"
2018T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"286,8"
2018T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,268
2018T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"303,7"
2018T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"325,1"
2017T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"313,5"
2017T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"310,9"
2017T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"338,8"
2017T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"366,3"
2016T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"342,7"
2016T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"351,4"
2016T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"376,7"
2016T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"418,9"
2015T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"404,5"
